20101003,361,602,20
20101004,357,597,27
20101005,353,592,33
20101006,349,587,40
20101007,346,582,46
20101008,342,577,53
20101009,338,572,58
20101010,334,567,64
20101011,330,562,70
20101012,326,556,76
20101013,322,551,82
20101014,318,545,88
20101015,315,540,94
20101016,311,534,100
20101017,307,528,106
20101018,303,522,112
20101019,299,516,117
20101020,295,511,123
20101021,291,504,128
20101022,287,498,133
20101023,283,492,137
20101024,279,486,141
20101025,274,479,145
20101026,270,473,149
20101027,266,466,154
20101028,261,460,158
20101029,257,453,161
20101030,252,447,165
20101031,248,440,169
20101101,243,433,3
20101102,238,426,6
20101103,233,419,9
20101104,228,413,12
20101105,223,406,15
20101106,218,399,18
20101107,213,392,21
20101108,207,385,24
20101109,202,378,27
20101110,197,371,30
20101111,191,365,32
20101112,186,358,35
20101113,180,351,38
20101114,175,344,41
20101115,169,338,43
20101116,163,331,46
20101117,157,325,49
20101118,152,318,51
20101119,146,312,54
20101120,140,306,57
20101121,134,300,60
20101122,129,294,62
20101123,123,288,65
20101124,117,282,67
20101125,112,276,70
20101126,106,271,72
20101127,100,265,74
20101128,95,260,77
20101129,89,254,79
20101130,84,249,81
20101201,78,244,3
20101202,73,239,5
20101203,68,234,8
20101204,63,230,11
20101205,58,225,13
20101206,53,221,16
20101207,48,216,19
20101208,44,212,22
20101209,39,208,24
20101210,34,204,27
20101211,30,200,30
20101212,26,196,32
20101213,22,193,35
20101214,18,189,37
20101215,14,186,39
20101216,10,182,41
20101217,7,179,44
20101218,3,176,46
20101219,0,173,48
20101220,-4,170,50
20101221,-7,168,52
20101222,-10,165,53
20101223,-13,162,55
20101224,-15,160,58
20101225,-18,158,60
20101226,-21,156,62
20101227,-23,154,64
20101228,-25,152,67
20101229,-27,150,69
20101230,-29,148,71
20101231,-31,147,73
